rep,model,seed,param,mean,sd,q025,q975,p_gt0,rhat,ess,divergences
8,weak,1056,prop_mediated,0.9472644603029999,4.564131505715314,0.14438085150000002,4.351534680000002,0.97825,1.00033,3240.23,0
8,strong,1056,b1,0.47143004695925006,0.11775931040587204,0.2448503935,0.7060178582500001,1.0,1.003,2857.65,0
8,strong,1056,b2,0.4623648071875,0.10966533352913613,0.25455407999999996,0.68062119975,1.0,1.00089,2645.44,0
8,strong,1056,g1,0.11835137846732025,0.12782478887020965,-0.13110565999999998,0.37803973525000006,0.823,1.00045,2645.71,0
8,strong,1056,gamma_M,0.0251066395893815,0.16508320619172723,-0.29323796999999996,0.35002212800000004,0.5605,1.0008,2955.63,0
8,strong,1056,gamma_Y,0.0906429006913225,0.16792295648801847,-0.23890295949999998,0.42211720875000003,0.70225,1.00001,2466.37,0
8,strong,1056,indirect_effect,0.21724810111925,0.0739894364542385,0.09497994100000001,0.38482019250000005,1.0,1.0021,3130.83,0
8,strong,1056,total_effect,0.33559947955912245,0.13114595582680902,0.083984702725,0.6005403005000001,0.9945,1.00015,3094.03,0
8,strong,1056,prop_mediated,0.57165756305,10.906334142587472,0.25612271200000003,2.0626037750000012,0.9945,1.00143,2816.52,0
9,weak,1063,b1,0.40802098122311203,0.16741025913237986,0.091435787025,0.7417773682500001,0.9935,1.00079,2838.85,0
9,weak,1063,b2,0.49101363274774995,0.12876777969177994,0.244069136,0.7555629322500002,1.0,1.00056,4283.31,0
9,weak,1063,g1,0.019080575918659002,0.1649666346629953,-0.29798717275,0.3483748547500001,0.55225,1.00074,3078.33,0
9,weak,1063,gamma_M,0.293163747335485,0.2346834729447742,-0.17998427225,0.7381136795000001,0.89425,1.00017,4920.88,0
9,weak,1063,gamma_Y,0.17649343680333002,0.25484301220936506,-0.32382608274999997,0.676340543,0.754,1.0008,4653.25,0
9,weak,1063,indirect_effect,0.19878723833522974,0.09665384286081613,0.04137015145,0.41889861624999997,0.9935,1.00028,3147.51,0
9,weak,1063,total_effect,0.21786781420455997,0.16835706159581063,-0.1080150345,0.55530470625,0.903,1.00058,3608.99,0
9,weak,1063,prop_mediated,0.8345792416037874,13.399235145335254,-6.1317514200000005,6.1798474225,0.9015,1.00046,3523.23,0
9,strong,1063,b1,0.365844981785375,0.12273260703697832,0.12148088425,0.6010941135000001,0.998,1.00029,3645.62,0
9,strong,1063,b2,0.451139137232,0.1057733954363459,0.2496760865,0.6684594817500001,1.0,0.999939,3788.25,0
9,strong,1063,g1,0.09062306830176152,0.12292167372304087,-0.15103746675,0.324651995,0.765,1.00048,3435.91,0
9,strong,1063,gamma_M,0.23788930531475752,0.1559655249042173,-0.06565585705,0.54441283875,0.93425,1.00121,3830.27,0
9,strong,1063,gamma_Y,0.13456194008964878,0.16018781428100703,-0.177467091,0.45176136275,0.7955,1.00172,3288.69,0
9,strong,1063,indirect_effect,0.164465567129825,0.06743697909527734,0.048670341125,0.30940752725000015,0.998,1.00065,3988.48,0
9,strong,1063,total_effect,0.25508863547555,0.12945468373720087,0.001616577595000003,0.501044638,0.976,1.00089,3786.88,0
9,strong,1063,prop_mediated,0.7512941590017499,5.94305284915492,0.05286783152500004,3.4039951175000036,0.976,1.00016,3335.93,0
10,weak,1070,b1,0.8103517170625,0.1599869227024146,0.5063460182499999,1.1331648125000002,1.0,1.00085,2519.71,0
10,weak,1070,b2,0.29177705945357696,0.15294127815914768,-0.006791937014999998,0.601528223,0.973,1.00059,3234.14,0
10,weak,1070,g1,0.2672752333823968,0.2196802503586399,-0.16236180774999998,0.7005293807500002,0.88875,1.00041,2440.41,0
10,weak,1070,gamma_M,-0.07572022358954189,0.24743153080500238,-0.56623947775,0.4197923375,0.384,1.00069,5941.4,0
10,weak,1070,gamma_Y,0.02651720367223,0.24795765528470667,-0.45166941499999996,0.51441107375,0.53675,0.999715,5471.15,0
10,weak,1070,indirect_effect,0.2340700896899155,0.13092767622641682,-0.003223434399999981,0.514026474,0.973,1.0003,3567.51,0
10,weak,1070,total_effect,0.5013453230395325,0.16117558170988822,0.18905129874999999,0.8237143084999999,0.9985,1.00028,2796.08,0
10,weak,1070,prop_mediated,0.49706087282280276,2.559468869723043,-0.014364478074999996,1.61365456,0.9715,1.00035,2820.9,0
10,strong,1070,b1,0.6252690360875001,0.11219941713123044,0.40946632050000004,0.8463785645,1.0,1.00048,3354.57,0
10,strong,1070,b2,0.3164592205167525,0.1111668676619023,0.103715681,0.5296888080000001,0.99925,1.00053,2797.31,0
10,strong,1070,g1,0.1738486305934025,0.13156361835445682,-0.08430096124999999,0.42703059675,0.9045,1.00106,2687.4,0
10,strong,1070,gamma_M,0.09460083371527675,0.16101198775242312,-0.21346344975,0.40917615925000006,0.72675,1.00085,3725.14,0
10,strong,1070,gamma_Y,0.07331331260478251,0.1549239417504649,-0.23044141199999998,0.38022844850000004,0.679,0.999947,3478.3,0
10,strong,1070,indirect_effect,0.1975892867610425,0.07801159235069613,0.0592771888,0.36142973575000004,0.99925,1.00076,2954.5,0
10,strong,1070,total_effect,0.37143791730563747,0.11951360487973184,0.13713757125,0.6102338967500001,0.999,1.00129,3550.61,0
10,strong,1070,prop_mediated,2.7348513160419055,135.1394629841116,0.1546631445,1.4907449875000005,0.99825,1.00181,2439.13,0
