scenario,N,rep,true_b1,true_b2,true_ind,cs_b1,cs_b1_cov,cs_b2,cs_b2_cov,lv_b1,lv_b1_cov,lv_b2,lv_b2_cov,lap_b1,lap_b1_cov,lap_b2,lap_b2_cov,lap_ind,lap_ind_sig
small,150,11,0.3,0.3,0.09,0.21617153579242,1,0.3078926156910966,1,0.31732768368524267,1,0.33804481773871353,1,,,,,,
small,150,12,0.3,0.3,0.09,0.3478602597378423,1,0.34770083026638743,1,0.3577846434181294,1,0.306110626442184,1,,,,,,
small,150,13,0.3,0.3,0.09,0.30464611954145443,1,0.19283189168057982,1,0.3625380612246483,1,0.21864619211597816,1,,,,,,
small,150,14,0.3,0.3,0.09,0.22739985041432229,1,0.35258600051041566,1,0.24998526679382724,1,0.37237729855595286,1,,,,,,
small,150,15,0.3,0.3,0.09,0.13824161986077413,0,0.2010297028070416,1,0.14942414132863976,0,0.3774287261697766,1,,,,,,
small,150,16,0.3,0.3,0.09,0.3629187409154954,1,0.35152631009385743,1,0.2901705137502191,1,0.3363240466569207,1,,,,,,
small,150,17,0.3,0.3,0.09,0.3454755796077786,1,0.10698361029343109,0,0.3119029460722427,1,0.11251087353945306,0,,,,,,
small,150,18,0.3,0.3,0.09,0.387162743873486,1,0.23439190717707536,1,0.30916915050752075,1,0.2878400064239842,1,,,,,,
small,150,19,0.3,0.3,0.09,0.16014217233027822,1,0.23456821571775432,1,0.2996174926084659,1,0.325611274758738,1,,,,,,
small,150,20,0.3,0.3,0.09,0.23431994959062502,1,0.18770519035626496,1,0.2510098043005792,1,0.2227449821871953,1,,,,,,
small,150,21,0.3,0.3,0.09,0.131751930487003,1,0.29975508569166226,1,0.1349726947897474,1,0.34617252031446777,1,,,,,,
small,150,22,0.3,0.3,0.09,0.3130405255670651,1,0.16411397352927506,1,0.3348194500275495,1,0.24821571188110497,1,,,,,,
small,150,23,0.3,0.3,0.09,0.17997976236171495,1,0.25239732033749784,1,0.19606789497919505,1,0.2687151984587953,1,,,,,,
small,150,24,0.3,0.3,0.09,0.33977363020315426,1,0.3086517511393692,1,0.40409770706203146,1,0.21251300030109443,1,,,,,,
small,150,25,0.3,0.3,0.09,0.17412732825405183,1,0.3544091273242014,1,0.24188034093416655,1,0.33105857382416237,1,,,,,,
small,150,26,0.3,0.3,0.09,0.22133913194491267,1,0.30328797881341374,1,0.26908870395335166,1,0.33444434917880095,1,,,,,,
small,150,27,0.3,0.3,0.09,0.395808086662382,1,0.23365544526393311,1,0.450780941963437,1,0.23224250895242685,1,,,,,,
small,150,28,0.3,0.3,0.09,0.2858940823822337,1,0.345587763020078,1,0.2990001090850236,1,0.3489616850594272,1,,,,,,
small,150,29,0.3,0.3,0.09,0.2812649537789128,1,0.23235990711022136,1,0.3738001315513842,1,0.2995923678189195,1,,,,,,
small,150,30,0.3,0.3,0.09,0.1522028440435266,1,0.3027259236860716,1,0.23189056805191816,1,0.24131343933106258,1,,,,,,
small,150,31,0.3,0.3,0.09,0.1333394274570729,1,0.22481984306470143,1,0.29814144678306365,1,0.18208772139914597,1,,,,,,
small,150,32,0.3,0.3,0.09,0.21106575693471963,1,0.317901968676687,1,0.30386955698112206,1,0.3638464173302457,1,,,,,,
small,150,33,0.3,0.3,0.09,0.20038216761771643,1,0.35264955111343743,1,0.29615023067194785,1,0.3509471882081363,1,,,,,,
small,150,34,0.3,0.3,0.09,-0.005838011488487924,0,0.2085081511632138,1,0.16010727449400786,1,0.21208428370683757,1,,,,,,
small,150,35,0.3,0.3,0.09,0.30842673369905704,1,0.43330031477475967,1,0.442086042351868,1,0.3592760470165519,1,,,,,,
small,150,36,0.3,0.3,0.09,0.14843904983725634,1,0.250673891596407,1,0.28369232494238084,1,0.19943290504712993,1,,,,,,
small,150,37,0.3,0.3,0.09,0.2946570267869825,1,0.18859410932304918,1,0.3820014667150814,1,0.2592410002978146,1,,,,,,
small,150,38,0.3,0.3,0.09,0.2674768136073884,1,0.25956459541116433,1,0.29572598636752495,1,0.3144676071234744,1,,,,,,
small,150,39,0.3,0.3,0.09,0.10959483925932144,0,0.2054731104534867,1,0.14457080996121416,0,0.28594350195130985,1,,,,,,
